 a a a
   0.35      -3.469354e-05  -0.0006683144  0.000207844
   0.4333333 -1.042765e-05  -0.0002027102  5.961963e-05
   0.5166667 2.656647e-05   -0.0001611552  0.0005092197
   0.6       9.847576e-05   -0.000586048  0.001907609
   0.6833333 0.0002596937   -0.001579966  0.005055889
   0.7666667 0.0006174209   -0.003728152  0.01194395
   0.85     0.00125440000   -0.00759225     0.02447552
   
