bin   asy   (+/-)err
0   0.000228   0.000171
1   0.000173   0.000254
2   0.000108   0.000323
3   0.000047   0.000369
4   -0.000003   0.000389
5   -0.000037   0.000386
6   -0.000054   0.000363
7   -0.000057   0.000333
8   -0.000051   0.000301
