bin   asy   (+/-)err
0   0.0029   0.0013
1   0.0077   0.0017
2   0.0150   0.0023
3   0.0254   0.0030
4   0.0383   0.0033
5   0.0538   0.0032
6   0.0710   0.0034
7   0.0882   0.0051
8   0.1037   0.0097
